عبارت,فرکانس کل,تعداد پرونده‌ی متمایز,دسته‌ی پیشنهادی,نزدیک‌ترین واژه‌ی موجود (امتیاز),پیشنهاد نهایی
که حسب,209,174,principle,طبق قانون (0.75),واژه‌ی جدید
دادگاه پس,202,174,concept,پروسه دادرسی (0.64),واژه‌ی جدید
حمایت خانواده,258,174,object,قانون حمایتی (0.76),واژه‌ی جدید
با احراز,192,174,principle,طبق قانون (0.75),واژه‌ی جدید
بابت هزینه,213,174,object,هزینه (0.82),واژه‌ی جدید
قسمتی از,227,174,object,یادداشت (0.66),واژه‌ی جدید
لزوم,222,174,concept,لازمه (0.77),واژه‌ی جدید
اعتراض معترض,175,174,action,اعتراض (0.91),alias پیشنهادی برای «اعتراض»
اجمالاً,258,174,action,جمع‌بندی (0.64),واژه‌ی جدید
قانونی صادر,178,173,principle,قانونی (0.84),واژه‌ی جدید
خالی,181,173,concept,باطل (0.63),واژه‌ی جدید
متر,419,173,principle,معیار (0.63),واژه‌ی جدید
مدعی است,202,173,role,مدعی (0.83),واژه‌ی جدید
قانونی است,204,172,concept,قانونی بودن (0.89),alias پیشنهادی برای «قانونی بودن»
در مرحله,215,172,action,طی روند دادرسی (0.70),واژه‌ی جدید
علی هذا,194,172,principle,طبق قانون (0.63),واژه‌ی جدید
رغم,204,172,principle,لحاظ (0.63),واژه‌ی جدید
توجهاً به,197,172,principle,احتیاط (0.73),واژه‌ی جدید
جلسه دادگاه,231,172,action,ورود به دادگاه (0.82),واژه‌ی جدید
ضمیمه,276,171,action,ضم (0.81),واژه‌ی جدید
دادرسی صادر,180,171,concept,دادرسی (0.81),واژه‌ی جدید
خودش,272,171,concept,شخص (0.72),واژه‌ی جدید
فیمابین,244,171,object,عقار (0.54),واژه‌ی جدید
مستند به,235,171,object,مستندات (0.74),واژه‌ی جدید
در حالی,219,171,action,طی روند دادرسی (0.70),واژه‌ی جدید
از نظر,207,171,principle,لحاظ (0.72),واژه‌ی جدید
به همین,189,171,concept,علت (0.65),واژه‌ی جدید
یک دستگاه,285,171,concept,شخص (0.69),واژه‌ی جدید
گذشته,233,171,concept,سابقه حقوقی (0.68),واژه‌ی جدید
ممکن,216,170,concept,مظنه (0.69),واژه‌ی جدید
مدافعات,212,170,action,دفاع (0.81),واژه‌ی جدید
المثل ایام,353,170,concept,اجرت المثل (0.68),واژه‌ی جدید
بنابراین دادگاه,181,170,concept,نظر دادگاه (0.68),واژه‌ی جدید
قانونی در,197,170,principle,قانونی (0.87),alias پیشنهادی برای «قانونی»
اساسی,194,170,object,قانون اساسی (0.69),واژه‌ی جدید
اصول دادرسی,171,170,concept,دادرسی (0.78),واژه‌ی جدید
در مقابل,191,170,concept,لامقابل (0.69),واژه‌ی جدید
واعلام,196,169,action,استعلام (0.75),واژه‌ی جدید
بیان داشته,253,169,concept,صراحت (0.68),واژه‌ی جدید
جانب,234,169,role,بی‌طرف (0.69),واژه‌ی جدید
پرونده،,181,169,object,پرونده (0.85),واژه‌ی جدید
فعلی,236,169,action,وضع (0.64),واژه‌ی جدید
به طور,212,169,principle,طبق قانون (0.73),واژه‌ی جدید
بندهای,204,169,action,وضع قید (0.61),واژه‌ی جدید
واخواهی در,178,169,action,واخواست (0.75),واژه‌ی جدید
ارجاع می,229,169,action,ارجاع (0.89),alias پیشنهادی برای «ارجاع»
دست,279,169,action,پیش‌دستی (0.66),واژه‌ی جدید
خواهی آقای,184,169,object,طلب (0.70),واژه‌ی جدید
توان,216,169,concept,ظرفیت (0.70),واژه‌ی جدید
هرچند,212,169,principle,فقط در صورتی که (0.59),واژه‌ی جدید
پرونده صادر,171,169,object,پرونده (0.80),واژه‌ی جدید
شرح خواسته,192,168,object,طلب (0.69),واژه‌ی جدید
تبادل,209,168,object,معاوضه (0.72),واژه‌ی جدید
اظهار داشت,384,168,concept,صراحت (0.69),واژه‌ی جدید
هزار تومان,354,168,object,واحد پول (0.67),واژه‌ی جدید
نمودند,249,168,action,تصرف (0.60),واژه‌ی جدید
به مدت,239,168,concept,بذل مدت (0.71),واژه‌ی جدید
نقض آن,183,168,action,نقض (0.89),alias پیشنهادی برای «نقض»
پرداخت خسارت,237,168,action,جبران خسارت (0.90),alias پیشنهادی برای «جبران خسارت»
شروع,271,168,object,کمک (0.71),واژه‌ی جدید
در دفترخانه,311,168,object,دفترخانه (0.85),واژه‌ی جدید
دادرسی دادگاه‌های,250,168,concept,دادرسی (0.83),واژه‌ی جدید
دادسرای,401,167,concept,دادرسی (0.81),واژه‌ی جدید
نظریه کارشناس,244,167,concept,نظریه کارشناسی (0.83),واژه‌ی جدید
همگی,254,167,object,هفتگی (0.61),واژه‌ی جدید
حاصله,201,167,concept,ضایعه (0.62),واژه‌ی جدید
تعیین شده,230,167,concept,حق تعیین (0.71),واژه‌ی جدید
وجاهت,189,167,role,ذوالوجاهة (0.70),واژه‌ی جدید
تکرار,268,167,action,یادآوری (0.71),واژه‌ی جدید
متعهد,301,167,role,متعهدله (0.86),واژه‌ی جدید
اتخاذ,216,167,object,تصمیم (0.79),واژه‌ی جدید
دلیل یا,167,167,concept,سبب (0.76),واژه‌ی جدید
کسی,255,167,concept,شخص (0.67),واژه‌ی جدید
است وارد,168,167,object,رسید (0.69),واژه‌ی جدید
تمامی,208,166,concept,کامل (0.71),واژه‌ی جدید
مشترک را,231,166,role,شریک (0.71),واژه‌ی جدید
خوانده با,182,166,action,گرفتن (0.60),واژه‌ی جدید
با نقض,199,166,action,نقض (0.86),واژه‌ی جدید
شروط,388,166,concept,شرط (0.87),واژه‌ی جدید
یافته است,185,166,action,یافتن (0.75),واژه‌ی جدید
درخصوص دعوی,183,166,action,اقامه دعوی (0.86),واژه‌ی جدید
داور,642,166,action,داوری (0.85),واژه‌ی جدید
به داوری,198,166,action,داوری (0.83),واژه‌ی جدید
به آقای,262,166,action,استعلام (0.71),واژه‌ی جدید
آورد,179,166,object,رسید (0.66),واژه‌ی جدید
دادنامه را,171,166,concept,دادرسی (0.72),واژه‌ی جدید
بیش,226,166,concept,بیشینه مجازات (0.62),واژه‌ی جدید
موکله,506,165,action,محاکمه (0.72),واژه‌ی جدید
نحوی,182,165,action,خوداظهاری (0.61),واژه‌ی جدید
خرید,263,165,role,خریدار (0.86),واژه‌ی جدید
مستفاد,182,165,action,مأخوذ (0.71),واژه‌ی جدید
دوم دادگاه,275,165,action,تجدید دادرسی (0.67),واژه‌ی جدید
هیچ گونه,212,165,concept,نبود صلاحیت (0.62),واژه‌ی جدید
عدد,399,164,concept,عده (0.78),واژه‌ی جدید
ندارم,307,164,action,انکار (0.66),واژه‌ی جدید
در وقت,267,164,principle,طبق قانون (0.72),واژه‌ی جدید
به نحو,194,164,principle,طبق قانون (0.74),واژه‌ی جدید
را ندارد,188,164,concept,نبود صلاحیت (0.67),واژه‌ی جدید
عادی مورخ,240,164,concept,شخص طبیعی (0.59),واژه‌ی جدید
از پلاک,285,164,object,پلاک (0.86),واژه‌ی جدید
ارزش,331,163,principle,معیار (0.65),واژه‌ی جدید
نظریه کتبی,190,163,concept,نظریه مشورتی (0.74),واژه‌ی جدید
دفاعیه,190,163,object,دفاعیات (0.89),alias پیشنهادی برای «دفاعیات»
رسیدگی در,184,163,action,رسیدگی (0.91),alias پیشنهادی برای «رسیدگی»
بر بی,201,163,object,برات (0.60),واژه‌ی جدید
که نقض,167,163,action,نقض (0.83),واژه‌ی جدید
داده شده,191,163,action,پرداخت (0.66),واژه‌ی جدید
دایر بر,205,163,role,مباشر (0.62),واژه‌ی جدید
به عقد,214,163,concept,عقد (0.82),واژه‌ی جدید
منتخب,230,162,concept,حق انتخاب (0.70),واژه‌ی جدید
تشکیل جلسه,247,162,object,جلسه (0.89),alias پیشنهادی برای «جلسه»
ابراز ننموده,163,162,action,انکار (0.65),واژه‌ی جدید
این رو,205,162,object,موصى به (0.60),واژه‌ی جدید
را غیر,166,162,concept,غیرمستقل (0.68),واژه‌ی جدید
سکونت,276,162,concept,حق سکنی (0.76),واژه‌ی جدید
الی,253,162,role,ولی (0.64),واژه‌ی جدید
قانون مذکور,187,162,action,طی ماده قانونی (0.72),واژه‌ی جدید
استوار می,164,162,principle,ثبات (0.64),واژه‌ی جدید
تجدیدنظر خواه,316,162,concept,تجدیدنظر (0.85),واژه‌ی جدید
از جهت,202,162,principle,لحاظ (0.75),واژه‌ی جدید
مستندات ابرازی,185,162,object,مستندات (0.76),واژه‌ی جدید
فوت,432,162,concept,موت (0.78),واژه‌ی جدید
علیرغم,202,161,principle,طبق قانون (0.61),واژه‌ی جدید
چنین رای,173,161,object,رأی (0.72),واژه‌ی جدید
به اتهام,287,161,role,متهم (0.77),واژه‌ی جدید
رسد,183,161,object,رسید (0.85),واژه‌ی جدید
بطرفیت خانم,186,161,principle,بی‌طرفی (0.67),واژه‌ی جدید
تائید,230,161,action,تأیید (0.94),alias پیشنهادی برای «تأیید»
به مفاد,173,161,role,ذی‌نفع (0.71),واژه‌ی جدید
حسن,217,160,concept,نفس (0.55),واژه‌ی جدید
خوانده دعوی,234,160,concept,دعوی (0.79),واژه‌ی جدید
آنجا,216,160,object,محل (0.58),واژه‌ی جدید
گذشت,210,160,action,گذراندن (0.73),واژه‌ی جدید
جدید,267,160,role,مباشر (0.67),واژه‌ی جدید
از خوانده,184,160,role,مخاطب (0.61),واژه‌ی جدید
به مندرجات,163,160,principle,لحاظ (0.66),واژه‌ی جدید
رای می,180,159,object,رأی (0.79),واژه‌ی جدید
موضوع را,190,159,concept,خارج از موضوع (0.70),واژه‌ی جدید
دادگاه از,173,159,concept,نظر دادگاه (0.73),واژه‌ی جدید
وقت رسیدگی,225,159,action,رسیدگی (0.82),واژه‌ی جدید
واقعی,240,159,concept,شخصیت حقیقی (0.72),واژه‌ی جدید
روابط,214,159,concept,رابطه خانوادگی (0.75),واژه‌ی جدید
شود که,197,159,action,حصول (0.63),واژه‌ی جدید
اقدام نماید,193,158,action,تصرف (0.72),واژه‌ی جدید
اظهارنظر,224,158,role,صاحب‌نظر (0.76),واژه‌ی جدید
مارالذکر,169,158,action,یادآوری (0.54),واژه‌ی جدید
که متضمن,177,158,role,مضمون (0.64),واژه‌ی جدید
مرکزی,226,158,concept,سب (0.63),واژه‌ی جدید
مصادیق,220,158,concept,استحقاق (0.65),واژه‌ی جدید
اساساً,192,158,principle,لحاظ (0.63),واژه‌ی جدید
خالی از,162,158,action,عدم حضور (0.64),واژه‌ی جدید
درخصوص دادخواست,170,157,object,دادخواست (0.87),واژه‌ی جدید
تجدیدنظرخواهی با,158,157,concept,تجدیدنظر (0.85),واژه‌ی جدید
که مورد,180,157,object,قضیه (0.64),واژه‌ی جدید
شناسنامه,486,157,object,گذرنامه (0.79),واژه‌ی جدید
صحت تشخیص,164,157,concept,صحت انتساب (0.71),واژه‌ی جدید
داشتن,209,156,action,گرفتن (0.73),واژه‌ی جدید
نیست زیرا,181,156,action,عدم حضور (0.63),واژه‌ی جدید
رونوشت,195,156,object,یادداشت (0.59),واژه‌ی جدید
استماع دعوی,223,156,action,اقامه دعوی (0.81),واژه‌ی جدید
منجر,187,156,concept,سبب (0.64),واژه‌ی جدید
درج,225,156,action,ثبت (0.74),واژه‌ی جدید
بیش از,213,156,concept,عده (0.62),واژه‌ی جدید
طلاق به,271,156,concept,طلاق (0.86),واژه‌ی جدید
انعقاد,252,155,concept,توافق (0.66),واژه‌ی جدید
جلب نظر,198,155,action,جلب (0.81),واژه‌ی جدید
حال حاضر,193,155,role,مباشر (0.66),واژه‌ی جدید
در دیوان,203,155,concept,وضعیت دیوان‌سالاری (0.67),واژه‌ی جدید
نماید رای,167,155,object,رأی (0.80),واژه‌ی جدید
وفق مقررات,167,155,principle,طبق قانون (0.86),واژه‌ی جدید
بر مبنای,198,155,principle,طبق قانون (0.77),واژه‌ی جدید
از جانب,212,155,principle,طبق قانون (0.69),واژه‌ی جدید
شامل,213,155,principle,شمول (0.69),واژه‌ی جدید
مرکز,282,155,object,محل (0.65),واژه‌ی جدید
مطروحه را,170,155,object,موصى به (0.58),واژه‌ی جدید
به پلاک,225,155,object,پلاک (0.84),واژه‌ی جدید
تجدیدنظرخواه را,163,155,concept,تجدیدنظر (0.83),واژه‌ی جدید
شخصی,218,155,concept,شخص (0.85),واژه‌ی جدید
به زوج,225,154,concept,ازدواج (0.64),واژه‌ی جدید
شعبه سوم,264,154,object,شعبه دادگاه (0.69),واژه‌ی جدید
دادیار,220,154,concept,دادرسی (0.77),واژه‌ی جدید
به مساحت,263,154,concept,ظرفیت (0.65),واژه‌ی جدید
